Bevoelkerung nach Geburtslaendern, Staatsangehoerigkeit und Migrationshintergrund, 2012-2022 | population by place of birth, citizenship and migrational background by LAU2, 2012-2022;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;LAU2_CODE;LAU2_NAME;POP_TOTAL;BORN_AUT;BORN_FOR;NATIONALITY_AUT;NATIONALITY_FOR;MIG_BACKGROUND;YEAR
AT1;AT12;AT121;31533;Pöchlarn;3906;3501;405;3567;339;495;2012
AT1;AT12;AT121;31534;Pöggstall;2465;2374;91;2393;72;100;2012
AT1;AT12;AT121;31535;Raxendorf;1045;1032;13;1039;6;13;2012
AT1;AT12;AT121;31537;Ruprechtshofen;2239;2153;86;2169;70;98;2012
AT1;AT12;AT121;31539;St. Leonhard am Forst;2990;2920;70;2957;33;71;2012
AT1;AT12;AT121;31540;St. Martin-Karlsbach;1657;1616;41;1631;26;42;2012
AT1;AT12;AT121;31541;St. Oswald;1117;1097;20;1102;15;21;2012
AT1;AT12;AT121;31542;Schönbühel-Aggsbach;1030;985;45;1006;24;47;2012
AT1;AT12;AT121;31543;Schollach;923;886;37;900;23;37;2012
AT1;AT12;AT121;31546;Weiten;1120;1070;50;1093;27;52;2012
AT1;AT12;AT121;31549;Ybbs an der Donau;5585;4908;677;5039;546;776;2012
AT1;AT12;AT121;31550;Zelking-Matzleinsdorf;1265;1227;38;1233;32;46;2012
AT1;AT12;AT121;31551;Texingtal;1590;1527;63;1541;49;65;2012
AT1;AT12;AT121;31552;Yspertal;1819;1785;34;1796;23;35;2012
AT1;AT12;AT121;31553;Emmersdorf an der Donau;1721;1631;90;1643;78;96;2012
AT1;AT12;AT125;31601;Altlichtenwarth;737;680;57;704;33;68;2012
AT1;AT12;AT125;31603;Asparn an der Zaya;1762;1661;101;1699;63;114;2012
AT1;AT12;AT125;31604;Bernhardsthal;1595;1444;151;1528;67;154;2012
AT1;AT12;AT126;31605;Bockfließ;1334;1208;126;1246;88;146;2012
AT1;AT12;AT125;31606;Drasenhofen;1144;1003;141;1032;112;164;2012
AT1;AT12;AT125;31608;Falkenstein;462;434;28;443;19;29;2012
AT1;AT12;AT125;31609;Fallbach;832;799;33;805;27;33;2012
AT1;AT12;AT125;31611;Gaubitsch;885;856;29;869;16;33;2012
AT1;AT12;AT125;31612;Gaweinstal;3737;3375;362;3463;274;404;2012
